"","type","variable","obs","pred"
"8348...18064","calibration","P retention",49,46.712432035951
"1656...18065","calibration","P retention",46,46.8002868477157
"4079...18066","calibration","P retention",37,48.7817177773793
"1582...18067","calibration","P retention",23.117196939,24.3997463016714
"7848...18068","calibration","P retention",20,17.3639291547333
"1840...18069","calibration","P retention",26.727272727,29.4247738059186
"6502...18070","calibration","P retention",33,32.6942828285308
"8385...18071","calibration","P retention",24,28.8157504398822
"1620...18072","calibration","P retention",39,44.4350577439678
"1020...18073","calibration","P retention",40,50.2383214416276
"1478...18074","calibration","P retention",17.598551891,10.5656089040303
"4013...18075","calibration","P retention",10,15.8561699023641
"4280...18076","calibration","P retention",15,16.2979730921129
"6501...18077","calibration","P retention",34,34.5304077937879
"1520...18078","calibration","P retention",18.364881192,13.222302968126
"3725...18079","calibration","P retention",29,30.2488128929765
"6029...18080","calibration","P retention",30,29.701863944486
"8492...18081","calibration","P retention",27,26.8629831058645
"4298...18082","calibration","P retention",90,94.0643602553728
"6384...18083","calibration","P retention",17,20.1862137126463
"433...18084","calibration","P retention",14,28.3294299506038
"7277...18085","calibration","P retention",75,75.0256743208261
"1066...18086","calibration","P retention",37,42.0282487045111
"8494...18087","calibration","P retention",35,33.7783162482662
"1092...18088","calibration","P retention",65,70.3676614790834
"8335...18089","calibration","P retention",30,28.4641565031259
"4992...18090","calibration","P retention",17,17.9973183141705
"6552...18091","calibration","P retention",61,52.0030998783212
"1108...18092","calibration","P retention",34,36.0246556259172
"1584...18093","calibration","P retention",23.902537253,26.3215517803366
"1460...18094","calibration","P retention",21.470245041,16.3270827616567
"1810...18095","calibration","P retention",16.606060606,13.5063194663713
"6445...18096","calibration","P retention",34,29.933312877819
"1518...18097","calibration","P retention",13.612565445,11.9799880745812
"7873...18098","calibration","P retention",22,15.1699282541635
"8254...18099","calibration","P retention",52,51.9806527609083
"1722...18100","calibration","P retention",51,55.8664207066218
"8526...18101","calibration","P retention",26,26.6954209258269
"3451...18102","calibration","P retention",12,3.85581763537242
"7545...18103","calibration","P retention",35,37.3492387869893
"860...18104","calibration","P retention",21,25.941378250284
"431...18105","calibration","P retention",21,24.5070117192511
"3724...18106","calibration","P retention",26,24.8042136595512
"1741","calibration","P retention",37,30.8734327354004
"6417...18108","calibration","P retention",29,19.951180551586
"4127...18109","calibration","P retention",16,14.3061178814043
"1088...18110","calibration","P retention",35,43.8621355831498
"1870...18111","calibration","P retention",26.565656566,31.4931190276277
"1995","calibration","P retention",48,49.5376686378811
"1436...18113","calibration","P retention",19.330410522,24.7705964816758
"4135...18114","calibration","P retention",48,51.2828659410382
"7684...18115","calibration","P retention",21,14.3326247412366
"4209...18116","calibration","P retention",22,22.9261399418893
