"","type","variable","obs","pred"
"6163...7770","calibration","clay",39.0800018,35.4683175855674
"3909...7771","calibration","clay",5,0.0654321224781356
"8128...7772","calibration","clay",28,24.4458694808199
"5882...7773","calibration","clay",1,4.6020702959486
"6596...7774","calibration","clay",29.2700005,31.9411566327555
"5959...7775","calibration","clay",42.8499985,33.3004484299947
"4343...7776","calibration","clay",66,52.0238239321678
"4331...7777","calibration","clay",1,0.672064333952036
"3646...7778","calibration","clay",3,13.9761730318568
"4324...7779","calibration","clay",21,18.9637048408692
"6237...7780","calibration","clay",26.6499996,29.5250617900863
"4559...7781","calibration","clay",25,8.8498815839152
"4172...7782","calibration","clay",39,40.4032604092924
"8462...7783","calibration","clay",13,8.24380108064207
"3803...7784","calibration","clay",4,12.3145972867981
"6488...7785","calibration","clay",1,3.80420109435315
"7776...7786","calibration","clay",31,33.0866379431026
"4336...7787","calibration","clay",1,0.722356382350704
"6619...7788","calibration","clay",20,19.2099308669196
"6006...7789","calibration","clay",17.4400005,16.0319381170253
"5002...7790","calibration","clay",44,36.2274269061728
"5451...7791","calibration","clay",15,17.1499671990377
"6162...7792","calibration","clay",42,33.703648423935
"3944...7793","calibration","clay",1,3.50186352085139
"6087...7794","calibration","clay",42.8199997,36.1589620343658
"5591...7795","calibration","clay",33.0400009,36.591228578292
"5440...7796","calibration","clay",24.8700008,33.8976689532491
"7321...7797","calibration","clay",1,2.65017461648559
"6080...7798","calibration","clay",32.6199989,38.1240808374673
"6233...7799","calibration","clay",1,-0.302797868345436
"6359...7800","calibration","clay",13.7600002,11.4989419655659
"4154...7801","calibration","clay",24,33.8286001963083
"6259...7802","calibration","clay",9.67000008,11.6493016728558
"5886...7803","calibration","clay",1.29999995,6.51930958603492
"8487...7804","calibration","clay",28,26.5387728821757
"5588...7805","calibration","clay",19.9200001,24.0482022786131
"5115...7806","calibration","clay",25.4200001,25.5914088924404
"5892...7807","calibration","clay",7.23000002,3.86206520212538
"5000...7808","calibration","clay",27,28.8329744967302
"8553...7809","calibration","clay",17,14.3354419705244
"4812...7810","calibration","clay",29.8999996,33.7529987752829
"6493...7811","calibration","clay",6.5999999,6.58764181561441
"5664...7812","calibration","clay",51.0099983,51.5733357247483
"7650...7813","calibration","clay",16,21.5888360878799
"6492...7814","calibration","clay",10.5299997,5.39027548343823
"6792...7815","calibration","clay",17.9500008,23.4919721410538
"6350...7816","calibration","clay",9.63000011,13.0485216442163
"6609...7817","calibration","clay",36.3300018,32.2649478797871
"4573...7818","calibration","clay",36,31.2456490219732
"5593...7819","calibration","clay",30.6399994,35.9456525217469
"6244...7820","calibration","clay",15,21.118427452458
"5003...7821","calibration","clay",47,35.5332288981151
"4181...7822","calibration","clay",53.2299995,49.5539006821152
"7404...7823","calibration","clay",43,48.4286452941995
"6575...7824","calibration","clay",32.6399994,18.5398311326897
"6206...7825","calibration","clay",27,24.8296004816894
"5592...7826","calibration","clay",34,38.3232605412006
"8291...7827","calibration","clay",38,40.9956891888284
"3667...7828","calibration","clay",24,23.5625263150596
"8516...7829","calibration","clay",6,16.0553612117815
"8095...7830","calibration","clay",27,26.6092670010325
"8524...7831","calibration","clay",39,37.5273447682007
"6276...7832","calibration","clay",4.65999985,8.93130613340559
"5151...7833","calibration","clay",28.9599991,23.5425910872552
"3622...7834","calibration","clay",14,19.5617647670417
"6176...7835","calibration","clay",36.7299995,42.3872615450709
"8272...7836","calibration","clay",33,28.2726221757182
"4853...7837","calibration","clay",67,56.9892572560705
"8061...7838","calibration","clay",27,14.7666965040227
"4362...7839","calibration","clay",46.7299995,46.9381290401442
"5665...7840","calibration","clay",43.8899994,43.8352955612693
"7584...7841","calibration","clay",17,11.054811069904
"6818...7842","calibration","clay",39.9000015,35.3970271800386
"3836...7843","calibration","clay",50,48.4415060718866
"3652...7844","calibration","clay",34,35.4273853773432
"5946...7845","calibration","clay",40.1199989,44.8286172205868
"6802...7846","calibration","clay",20.5499992,23.9817948286929
"5684...7847","calibration","clay",1.96000004,4.34139178696734
"3684...7848","calibration","clay",29,34.1427022994278
"5590...7849","calibration","clay",8.68999958,10.7954133257858
"6801...7850","calibration","clay",14.9200001,23.9780660135091
"6819...7851","calibration","clay",55.2200012,50.0087318502308
"3669...7852","calibration","clay",17,16.2170879255172
"5001...7853","calibration","clay",42,35.244381934454
"6496...7854","calibration","clay",52.5400009,57.240241980788
"6791...7855","calibration","clay",18.2999992,24.8406252585003
"4085...7856","calibration","clay",19,12.321132394112
"7832...7857","calibration","clay",31,28.3063569213879
"6805...7858","calibration","clay",35.25,31.59745268694
"4178...7859","calibration","clay",36,37.8155755658041
"6507...7860","calibration","clay",1,2.94975860899104
"5090...7861","calibration","clay",20.3500004,20.9511974601347
"4636...7862","calibration","clay",15,18.1935653567926
"4924...7863","calibration","clay",70,65.0923964152634
"7407...7864","calibration","clay",40,47.3167006174143
"6744...7865","calibration","clay",23.1200008,20.5539140399543
"6181...7866","calibration","clay",30.0200005,33.8752684679316
"6060...7867","calibration","clay",39.8699989,34.8231513538433
"3433...7868","calibration","clay",43,39.3473548837901
"3966...7869","calibration","clay",46,43.1394617067764
"3686...7870","calibration","clay",8,21.4399373196814
"5595...7871","calibration","clay",9.76000023,18.0135615483898
"3902...7872","calibration","clay",8,12.0136649310694
"3668...7873","calibration","clay",13,17.0154924335908
"6050...7874","calibration","clay",16.7800007,15.9754614572938
"3534...7875","calibration","clay",20,17.3614144214258
"6610...7876","calibration","clay",31.1900005,38.7944939208729
"3514...7877","calibration","clay",14,16.5996973388464
"5079...7878","calibration","clay",35.75,34.9918032237621
"6122...7879","calibration","clay",3.42000008,-3.39027698388833
"7320...7880","calibration","clay",2,3.60526567482979
"5615...7881","calibration","clay",44.0600014,42.9082117745988
"6245...7882","calibration","clay",23.75,24.904477467131
"4382...7883","calibration","clay",20.5799999,23.5358034247201
"4748...7884","calibration","clay",73,65.5820496583781
"6211...7885","calibration","clay",23.9899998,17.0056691705662
"8481...7886","calibration","clay",3,0.565215782946993
"3735...7887","calibration","clay",25,22.133460793699
"3571...7888","calibration","clay",25,24.8366591910622
"3613...7889","calibration","clay",22,27.938344842899
"4655...7890","calibration","clay",20.1800003,33.6625405010828
"3548...7891","calibration","clay",15,19.1943970795598
"6353...7892","calibration","clay",20.2199993,20.0446189805429
"5594...7893","calibration","clay",16.2000008,20.0587357665032
"8063...7894","calibration","clay",25,12.9425507832341
"4176...7895","calibration","clay",35.1899986,44.1397500294582
"8484...7896","calibration","clay",13,29.1099259532386
"6618...7897","calibration","clay",32.25,28.1165166938433
"5865...7898","calibration","clay",7.84000015,11.0598678709805
"6628...7899","calibration","clay",16.8199997,23.0337321305877
"6228...7900","calibration","clay",3.05999994,5.93491974286519
"3579...7901","calibration","clay",19,30.9259597992564
"6234...7902","calibration","clay",1,-1.90503982311849
"4317...7903","calibration","clay",18,16.4483218574792
"8281...7904","calibration","clay",18,11.6072402864765
"6636...7905","calibration","clay",20,19.1130805902082
"7830...7906","calibration","clay",31,27.6903832102754
"4921...7907","calibration","clay",71,69.3758934557842
"3583...7908","calibration","clay",28,27.7334746656073
"4617...7909","calibration","clay",36.3199997,24.8008312555512
"5014...7910","calibration","clay",15,14.6049208040196
"6184...7911","calibration","clay",42.6399994,41.5709046189824
"6820...7912","calibration","clay",49.3199997,40.9054624362888
"3680...7913","calibration","clay",32,36.2426541238761
"4927...7914","calibration","clay",73,66.4051865948119
"5667...7915","calibration","clay",61.0900002,59.8889621313299
"6273...7916","calibration","clay",1,-1.47654720511771
"5157...7917","calibration","clay",3.6400001,8.36808816166995
"8084...7918","calibration","clay",24,10.5287558938169
"3674...7919","calibration","clay",28,32.3364740969947
"4998...7920","calibration","clay",45,35.7967886385288
"8463...7921","calibration","clay",4,3.1281960249818
"6210...7922","calibration","clay",14.5200005,14.9693426042475
"7595...7923","calibration","clay",21,16.1084701455302
"6229...7924","calibration","clay",1,5.8951721923689
"7638...7925","calibration","clay",17.0100002,16.8798440333889
"8044...7926","calibration","clay",25,21.4008399556231
"6769...7927","calibration","clay",2,3.09859394418876
"6787...7928","calibration","clay",23.1499996,21.9652768418691
"6583...7929","calibration","clay",24.5,22.2094373545127
"6208...7930","calibration","clay",13.6999998,15.652211111957
"8099...7931","calibration","clay",3,3.2291593678479
"6584...7932","calibration","clay",15,24.7028028239367
"5678...7933","calibration","clay",10,14.4544291491863
"6782...7934","calibration","clay",66,52.5751924662449
"6731...7935","calibration","clay",4.86000013,-0.298328910532867
"3645...7936","calibration","clay",16,17.9960415514857
"5163...7937","calibration","clay",24,24.8017902042624
"5584...7938","calibration","clay",27.7999992,30.9556031297572
"5893...7939","calibration","clay",3.6400001,3.75869227170495
"5674...7940","calibration","clay",0.569999993,4.49574061314435
"4864...7941","calibration","clay",65,55.7020672301846
"4629...7942","calibration","clay",20,18.6398204773139
"4504...7943","calibration","clay",54.6899986,47.3776428044906
"7538...7944","calibration","clay",3,-2.92009943247118
"6800...7945","calibration","clay",16.9200001,23.423789071256
