"","type","variable","obs","pred"
"7522...2671","calibration","carbon",0.330000013,0.298080205302481
"6745...2672","calibration","carbon",2.20000005,2.28602776632971
"7189...2673","calibration","carbon",0.219999999,0.245282959794848
"3164","calibration","carbon",1.29650590026247,1.13692311013533
"6536...2675","calibration","carbon",0.600000024,0.876016674633414
"588","calibration","carbon",5.67,5.72652004105714
"5400...2677","calibration","carbon",0.100000001,0.162292540007403
"6752...2678","calibration","carbon",1.60000002,1.71327576307797
"1976...2679","calibration","carbon",0.21,0.0732158885603792
"2690","calibration","carbon",0.684887569322183,0.691294025604559
"4335...2681","calibration","carbon",4.5999999,4.42630724747337
"5717...2682","calibration","carbon",0.300000012,0.193043091549638
"4566...2683","calibration","carbon",0.100000001,0.232596843528665
"4125...2684","calibration","carbon",0.200000003,0.141888568926193
"5475...2685","calibration","carbon",0.5,0.49706315042366
"5710...2686","calibration","carbon",0.300000012,0.223744767107162
"2092","calibration","carbon",0.33,0.237007020251882
"598","calibration","carbon",5.43,5.70488927346614
"7654...2689","calibration","carbon",0.119999997,0.178933494122853
"4653...2690","calibration","carbon",2.9000001,3.33987646833329
"8462...2691","calibration","carbon",0.569999993,0.45921458137964
"3585...2692","calibration","carbon",1.89999998,2.35479871494249
"4996...2693","calibration","carbon",0.400000006,0.450221980560527
"5546...2694","calibration","carbon",0.400000006,0.415860584560903
"6792...2695","calibration","carbon",3,2.70766332197539
"7199...2696","calibration","carbon",0.119999997,0.205768357848348
"6573...2697","calibration","carbon",1.70000005,1.78310463834128
"6021...2698","calibration","carbon",0.600000024,0.669028840466237
"3371","calibration","carbon",2.82698975303293,2.70318730415554
"4733...2700","calibration","carbon",0.600000024,0.570516603479644
"3098","calibration","carbon",0.639622791545189,0.652007458170455
"5496...2702","calibration","carbon",0.400000006,0.483044025045057
"5159...2703","calibration","carbon",0.200000003,0.347483412572566
"4021...2704","calibration","carbon",0.200000003,0.168078430486209
"7213...2705","calibration","carbon",0.649999976,0.391235211299297
"6801...2706","calibration","carbon",1.39999998,1.15112069738044
"4347...2707","calibration","carbon",2,2.15223808181122
"6621...2708","calibration","carbon",0.100000001,0.0872000210077215
"5959...2709","calibration","carbon",5.5,5.31490872310936
"3888...2710","calibration","carbon",4.5999999,4.56288448414687
"6206...2711","calibration","carbon",0.400000006,0.564777157990636
"5955...2712","calibration","carbon",2.70000005,2.70484390910622
"3925...2713","calibration","carbon",0.200000003,0.197402215904154
"6256...2714","calibration","carbon",0.5,0.44289470398484
"2106...2715","calibration","carbon",0.3,0.201873663407305
"7943...2716","calibration","carbon",0.25999999,0.243579320035553
"5414...2717","calibration","carbon",0.200000003,0.186469652077235
"7207...2718","calibration","carbon",0.239999995,0.290656663494043
"6036...2719","calibration","carbon",1.10000002,1.24544667840446
"6609...2720","calibration","carbon",1,1.19519888850914
"7136...2721","calibration","carbon",0.91,1.15856055121672
"8472...2722","calibration","carbon",0.330000013,0.46415344665836
"6574...2723","calibration","carbon",1.70000005,1.79905584837286
"3582...2724","calibration","carbon",1.10000002,0.944492113640699
"3269","calibration","carbon",2.01655253261704,1.8432550020928
"8272...2726","calibration","carbon",4,3.8272156473826
"7317...2727","calibration","carbon",5.0999999,4.7173139541609
"3795...2728","calibration","carbon",0.400000006,0.464133130782652
"4313...2729","calibration","carbon",0.400000006,0.229744927809464
"5505...2730","calibration","carbon",0.200000003,0.212760865953371
"7201...2731","calibration","carbon",0.140000001,0.171243591851054
"8306...2732","calibration","carbon",8.60000038,7.60736098286093
"7214...2733","calibration","carbon",0.579999983,0.246628049243329
"5117...2734","calibration","carbon",0.200000003,0.175207833749834
"6175...2735","calibration","carbon",4.4000001,3.80961154420247
"7212...2736","calibration","carbon",2.70000005,2.3502824076803
"5491...2737","calibration","carbon",0.400000006,0.480413398806606
"3099","calibration","carbon",0.56257108466437,0.564542543221775
"6596...2739","calibration","carbon",2,2.22688302538149
"6597...2740","calibration","carbon",1.10000002,1.19771153364372
"3104","calibration","carbon",0.48846759108211,0.418317943038221
"4371...2742","calibration","carbon",2.5,2.20504843977757
"7530...2743","calibration","carbon",0.330000013,0.287186149790476
"3105","calibration","carbon",0.331402135244742,0.341800150013562
"8293...2745","calibration","carbon",6.30000019,5.72833582801572
"2872","calibration","carbon",0.703871862156987,0.62924284137155
"3920...2747","calibration","carbon",0.400000006,0.383336153397792
"6121...2748","calibration","carbon",0.600000024,0.637952592947291
"5012...2749","calibration","carbon",0.300000012,0.312898208234875
"3949...2750","calibration","carbon",0.200000003,0.145972355481575
"655","calibration","carbon",5.3,5.13396531250379
"1978...2752","calibration","carbon",0.18,0.0696343743779728
"6585...2753","calibration","carbon",0.100000001,0.172194903201972
"3744...2754","calibration","carbon",4.30000019,4.90467376639426
"4372...2755","calibration","carbon",2.4000001,2.63784130145263
"6802...2756","calibration","carbon",0.400000006,0.441776929461911
"4261...2757","calibration","carbon",0.5,0.626438420249052
"5485...2758","calibration","carbon",0.100000001,0.242201319007256
"8294...2759","calibration","carbon",8.60000038,7.81888806571514
"7269...2760","calibration","carbon",10.5,10.3944027784548
