,lower,upper,pred,obs,type,variable
2433,3.2702847,9.781027,6.5256557,9.0, Calibration,P retention
2434,19.267742,38.493443,28.880592,34.0, Calibration,P retention
2435,28.426851,56.63308,42.529964,54.0, Calibration,P retention
2436,41.91213,84.64949,63.28081,60.0, Calibration,P retention
2437,9.199602,20.864584,15.032093,18.0, Calibration,P retention
2438,0.8685832,3.5567126,2.212648,2.0, Calibration,P retention
2439,16.883892,33.674007,25.27895,25.0, Calibration,P retention
2440,58.949013,116.57546,87.76224,96.0, Calibration,P retention
2441,36.706436,73.666374,55.186405,45.0, Calibration,P retention
2442,0.5164776,4.517319,2.5168984,3.0, Calibration,P retention
2443,42.94563,86.52928,64.73746,71.0, Calibration,P retention
2444,0.7945447,3.5993237,2.1969342,3.0, Calibration,P retention
2445,6.223645,14.66665,10.4451475,12.0, Calibration,P retention
2446,11.277144,22.26159,16.769367,16.069271, Calibration,P retention
2447,58.443657,115.358894,86.901276,96.0, Calibration,P retention
2448,7.3296514,14.509832,10.919742,15.0, Calibration,P retention
2449,50.094654,99.02467,74.55966,88.0, Calibration,P retention
2450,17.3886,34.353504,25.871052,29.0, Calibration,P retention
2451,18.529934,37.096252,27.813093,33.0, Calibration,P retention
2452,7.637827,15.95751,11.797668,12.0, Calibration,P retention
2453,13.558376,26.579079,20.068727,19.0, Calibration,P retention
2454,21.518118,43.273193,32.395657,33.0, Calibration,P retention
2455,38.15677,77.82164,57.989204,47.0, Calibration,P retention
2456,34.5066,68.99807,51.752335,83.0, Calibration,P retention
2457,27.329422,54.989014,41.159218,50.0, Calibration,P retention
2458,13.049005,27.360146,20.204575,31.0, Calibration,P retention
2459,13.266607,26.802378,20.034492,24.0, Calibration,P retention
2460,37.12274,74.001114,55.561928,65.0, Calibration,P retention
2461,22.688637,44.625633,33.657135,33.0, Calibration,P retention
2462,57.786217,114.795815,86.291016,94.0, Calibration,P retention
2463,10.839699,22.397732,16.618715,15.0, Calibration,P retention
2464,40.95258,81.7126,61.332592,61.0, Calibration,P retention
2465,37.708588,74.171074,55.93983,56.0, Calibration,P retention
2466,8.31802,17.29936,12.80869,13.0, Calibration,P retention
2467,1.6616138,1.6839112,0.011148712,4.0, Calibration,P retention
2468,49.89596,100.34361,75.11979,76.0, Calibration,P retention
2469,61.764465,123.38176,92.57311,98.0, Calibration,P retention
2470,18.675777,37.161976,27.918877,29.0, Calibration,P retention
2471,22.91994,44.511326,33.715633,35.0, Calibration,P retention
2472,17.461021,34.042137,25.75158,22.0, Calibration,P retention
2473,22.283669,43.344566,32.814117,34.0, Calibration,P retention
2474,34.772507,69.086685,51.929596,56.0, Calibration,P retention
2475,66.27925,131.52864,98.903946,99.0, Calibration,P retention
2476,22.483889,44.310394,33.39714,45.0, Calibration,P retention
2477,42.968323,84.44658,63.70745,63.0, Calibration,P retention
2478,16.373955,32.610363,24.492159,23.0, Calibration,P retention
2479,16.09855,31.767073,23.932812,21.0, Calibration,P retention
2480,46.76655,93.16473,69.96564,68.0, Calibration,P retention
2481,27.133438,55.50885,41.321144,41.0, Calibration,P retention
2482,40.690872,81.04355,60.86721,79.0, Calibration,P retention
2483,41.989716,85.41713,63.703423,63.0, Calibration,P retention
2484,17.914677,36.24084,27.077759,28.0, Calibration,P retention
2485,20.442734,40.320385,30.38156,32.0, Calibration,P retention
2486,16.693243,34.51142,25.602331,20.0, Calibration,P retention
2487,4.9708586,11.0059,7.9883795,8.0, Calibration,P retention
2488,13.247794,30.146347,21.697071,31.0, Calibration,P retention
2489,7.526453,15.411457,11.468955,27.0, Calibration,P retention
2490,29.075125,61.169525,45.122326,45.0, Calibration,P retention
2491,12.327306,24.42366,18.375483,25.0, Calibration,P retention
2492,28.282217,55.9961,42.13916,41.0, Calibration,P retention
2493,3.0928404,8.242539,5.66769,4.0, Calibration,P retention
2494,18.656202,36.333496,27.494848,36.0, Calibration,P retention
2495,40.91491,82.71882,61.816864,57.0, Calibration,P retention
2496,43.7807,87.5155,65.6481,83.0, Calibration,P retention
2497,50.036873,99.11991,74.57839,90.0, Calibration,P retention
2498,20.724983,41.512806,31.118895,38.0, Calibration,P retention
2499,66.760544,132.27882,99.519684,99.0, Calibration,P retention
2500,64.1721,127.02746,95.59978,100.0, Calibration,P retention
2501,11.364008,22.825754,17.094881,14.0, Calibration,P retention
2502,9.820075,19.73462,14.777348,16.0, Calibration,P retention
2503,9.525944,19.037457,14.2817,13.0, Calibration,P retention
2504,41.809982,84.42796,63.118973,75.0, Calibration,P retention
2505,25.035723,51.7807,38.40821,32.0, Calibration,P retention
2506,0.99295485,4.1832643,2.5881095,4.0, Calibration,P retention
2507,36.50811,72.58445,54.54628,52.0, Calibration,P retention
2508,14.328985,28.130594,21.22979,22.0, Calibration,P retention
2509,34.28153,68.43501,51.358273,54.0, Calibration,P retention
2510,42.512085,84.3056,63.408844,65.0, Calibration,P retention
2511,17.193302,35.223293,26.208298,37.0, Calibration,P retention
2512,8.677673,17.564585,13.121129,12.0, Calibration,P retention
2513,7.631203,15.288382,11.459792,10.0, Calibration,P retention
2514,13.858479,27.17355,20.516014,15.743324, Calibration,P retention
2515,58.014297,116.48834,87.25132,86.0, Calibration,P retention
2516,17.209679,34.86114,26.03541,24.0, Calibration,P retention
2517,13.751631,27.633898,20.692764,11.0, Calibration,P retention
2518,36.323288,72.321205,54.322247,61.0, Calibration,P retention
2519,60.90806,121.472435,91.19025,92.0, Calibration,P retention
2520,12.022594,24.222523,18.122559,16.0, Calibration,P retention
2521,8.471964,16.8696,12.670782,12.0, Calibration,P retention
2522,4.2178736,9.468422,6.8431478,7.253886, Calibration,P retention
2523,55.001793,108.76151,81.88165,86.0, Calibration,P retention
2524,17.55582,35.472713,26.514267,31.0, Calibration,P retention
