"","type","variable","obs","pred","lower","upper"
"19750","calibration","P retention",89,88.6838315424671,74.7134189470215,96.3755309897574
"19751","calibration","P retention",45,47.413255540636,31.5474040432081,63.3865893449141
"19752","calibration","P retention",96,92.9902798544605,80.4857375669781,98.4602385567286
"19753","calibration","P retention",36,33.10906962654,19.2963392798079,51.3557679508181
"19754","calibration","P retention",11,14.6269331367384,5.1759639699821,29.272580239218
"19755","calibration","P retention",13,13.868216911418,5.15192945982791,27.964954952586
"19756","calibration","P retention",15,10.5003793219578,3.18435879450477,24.6249442466202
"19757","calibration","P retention",45,41.462935243671,24.7365629671369,59.068159029296
"19758","calibration","P retention",92,92.2178225487247,79.6893028973234,98.3485933355175
"19759","calibration","P retention",43,39.9017015153718,23.7026506005174,57.3345876434939
"19760","calibration","P retention",12,16.2593868395647,6.71805603130641,30.7906552087607
"19761","calibration","P retention",19,21.1981336241191,10.2340120658336,37.1929118564072
"19762","calibration","P retention",6,6.22662460040815,1.05475865886076,18.0116808070658
"19763","calibration","P retention",39,39.0359523656089,22.6097969780425,56.510708297942
"19764","calibration","P retention",69,71.3003722220605,54.0655933970562,85.959819740956
"19765","calibration","P retention",21,22.906439896133,11.3066329731299,38.7597825357908
"19766","calibration","P retention",17,17.6940811048882,6.84328379460484,33.2572971540373
"19767","calibration","P retention",80,73.720831238308,57.561336737608,86.0578058244364
"19768","calibration","P retention",27,11.7887435801573,3.34138668358744,23.9739704513039
"19769","calibration","P retention",3,6.91721606373046,1.58694761537714,19.4525879744562
"19770","calibration","P retention",74,74.0519310701847,57.9322096938005,86.747074369092
"19771","calibration","P retention",65,68.1051538829466,51.6193423204161,82.4897947130349
"19772","calibration","P retention",21,28.8982850042821,15.3074073128068,45.7666121761233
"19773","calibration","P retention",2,6.23203760980909,1.10700742412803,17.4510200593466
"19774","calibration","P retention",43,37.4909938406695,22.8838135389462,55.8391580742719
"19775","calibration","P retention",43,48.0445006525233,31.8125432454764,64.0795543013767
"19776","calibration","P retention",50,47.5949621738429,31.4732475179698,65.075801517471
"19777","calibration","P retention",15,19.2240813224071,7.96217591691641,33.5298472682945
"19778","calibration","P retention",11,12.0967890034305,4.16426463408057,26.2544018896604
"19779","calibration","P retention",60,55.1073883102853,37.5838097532993,71.2852004230731
"19780","calibration","P retention",2,5.20348285273027,0.820332464963729,16.1851987239589
"19781","calibration","P retention",58,48.4303138138731,32.086388954305,65.4321200336416
