"","type","variable","obs","pred","lower","upper"
"9573","validation","clay",2,3.50637681119253,0.751211676577225,10.0840910897523
"9574","validation","clay",1,21.1750342896706,12.3175450430443,32.9384835797111
"9575","validation","clay",15,18.3316471219923,10.4091143474122,29.4266183675148
"9576","validation","clay",31,38.7233169957221,26.9011156746087,51.8812898980862
"9577","validation","clay",37,33.905998278301,22.2752022388659,45.7820605629161
"9578","validation","clay",12,13.8202086409566,7.10527246314918,23.2916519209922
"9579","validation","clay",22,23.8339935075151,14.89504833623,35.4939282128375
"9580","validation","clay",32,28.9022204156624,18.5109071183501,40.6603975216636
"9581","validation","clay",8,15.3353579956592,7.59140780146261,24.9501940015227
"9582","validation","clay",55.8199997,62.8388980660721,50.5614684944212,74.7249327316771
"9583","validation","clay",24,19.1115534374265,10.4763834776873,30.2491268422206
"9584","validation","clay",18.5300007,21.3331408312379,12.0876116457238,32.7251492169758
"9585","validation","clay",16,19.0394880794961,10.0480751377484,29.499311113969
"9586","validation","clay",10.6000004,17.7973009773589,9.30702363638362,28.233969467132
"9587","validation","clay",0.699999988,1.16743388022509,0.0611902880507401,5.45551172207458
"9588","validation","clay",20,21.2600851229329,12.6192329993885,32.8507053039094
"9589","validation","clay",40,42.6341523313844,29.3758644421075,56.2559261805947
"9590","validation","clay",4.13000011,9.19581285814249,3.6518623000117,17.9247625415219
"9591","validation","clay",32.2400017,38.2786350904752,27.1431133341623,50.8875690469194
"9592","validation","clay",23,21.2237845431014,12.294368905871,32.6390560107356
"9593","validation","clay",32,27.3574740507839,17.4315923850441,39.1211511575403
"9594","validation","clay",28,27.9051929486169,18.1747389453971,40.4327054847723
"9595","validation","clay",35.2700005,35.6974621297228,24.6266275397065,47.8936184209713
"9596","validation","clay",28,20.6498694609666,11.8653658395742,31.7563889754388
"9597","validation","clay",6,12.4149781314317,6.04109845227548,21.5928552218567
"9598","validation","clay",23,14.3576380095466,7.45610774241343,25.2074230473463
"9599","validation","clay",38.6199989,36.2253513820383,25.4544632044637,49.9530087646475
"9600","validation","clay",40,33.9900799953247,23.6846248861546,45.9958127783
"9601","validation","clay",45,40.5678221410618,28.5563141654853,52.9661283867172
"9602","validation","clay",27,25.7041574637487,15.8174216372463,38.1290800681764
"9603","validation","clay",22,20.4921793964566,12.1267768129024,31.2641083265978
"9604","validation","clay",53,58.3396511634855,46.2600819576821,70.3135522554269
"9605","validation","clay",12,7.43366183699288,2.52653243409916,14.9131618650769
"9606","validation","clay",32.9099998,35.2203673024272,24.6409259884379,47.6349392795494
"9607","validation","clay",24,21.381208732543,12.4660627414596,32.5960049364887
"9608","validation","clay",4.48999977,4.18912969512741,1.06043120930065,11.0040918209363
"9609","validation","clay",31,56.8509821501565,44.36396223868,68.8921980275025
"9610","validation","clay",9.17000008,10.529619078338,4.28858476708929,19.643624824342
"9611","validation","clay",22,17.4367725900462,9.52096216532352,27.9836252560971
"9612","validation","clay",19,24.3129756239369,14.9946666680721,34.5380997231746
"9613","validation","clay",37,37.2649252247489,25.6575772913415,49.3636781076146
"9614","validation","clay",17,17.9105848815136,10.0487743218014,28.1820179916363
"9615","validation","clay",21,11.8674825033984,5.41739684377259,21.2436736582061
"9616","validation","clay",22,22.2743194333872,13.4707652531997,32.5388619380306
"9617","validation","clay",68,61.6955667778928,48.8636948712317,72.8468795317194
"9618","validation","clay",28,24.4701483041216,14.6537025064639,35.896263369372
