,upper,lower,pred,obs,type,variable
19313,9.71295459,0.207609245,4.7526727,4.79, Calibration,carbon
19315,4.439559982,0.010925724,2.2252429,2.6, Calibration,carbon
19319,13.94000326,0.446312766,6.7468452,7.3, Calibration,carbon
19321,1.854549254,0.207415734,1.0309825,1.3, Calibration,carbon
19324,1.514049655,0.167548293,0.840799,1.0198338, Calibration,carbon
19328,7.607665999,0.024669664,3.8161678,4.3, Calibration,carbon
19330,2.700686568,0.216438419,1.4585625,1.637, Calibration,carbon
19333,1.433825146,0.117296327,0.77556074,0.6084962, Calibration,carbon
19336,3.253563762,0.22605288,1.7398083,1.7, Calibration,carbon
19339,3.730928934,0.219858611,1.9753938,2.002884, Calibration,carbon
19344,50.17277324,4.05898463,23.056894,25, Calibration,carbon
19345,2.523282546,0.178565961,1.3509243,1.4476066, Calibration,carbon
19348,8.03859482,0.000825503,4.0188847,4.1, Calibration,carbon
19351,1.962046361,0.259148145,1.1105973,1.8, Calibration,carbon
19355,9.096915208,0.206158601,4.4453783,4.5, Calibration,carbon
19358,4.308672444,0.265315517,2.286994,2.58, Calibration,carbon
19360,2.274342864,0.169881256,1.222112,1.4, Calibration,carbon
19363,2.334006038,0.105197225,1.2196016,1.3, Calibration,carbon
19366,1.433825146,0.117296327,0.77556074,0.87, Calibration,carbon
19369,7.073548616,0.154604613,3.6140766,4.17, Calibration,carbon
19372,1.871475034,0.172292895,1.021884,1.5, Calibration,carbon
19376,12.17381529,0.389078657,5.8923683,6.2, Calibration,carbon
19379,8.367565301,0.050003859,4.2087846,4.1, Calibration,carbon
19382,8.048362662,0.064473222,4.056418,4.0008802, Calibration,carbon
19384,4.528271776,0.02018537,2.2742286,2.4, Calibration,carbon
19387,2.244132342,0.208518205,1.2263253,1.1, Calibration,carbon
19390,3.636058701,0.256696092,1.9463774,2, Calibration,carbon
19394,9.084607994,0.105898773,4.4893546,4.6094513, Calibration,carbon
19396,4.518630331,0.242686922,2.3806586,2.49, Calibration,carbon
19401,23.55384896,1.385716181,11.084066,11.4, Calibration,carbon
19403,8.103603938,0.011457064,4.0460734,4.4, Calibration,carbon
19406,7.567594229,0.042685331,3.8051398,4.047923, Calibration,carbon
19409,14.20234295,0.471877064,6.865233,7.9, Calibration,carbon
19412,9.443091351,0.282333332,4.580379,0.8, Calibration,carbon
19414,2.943765216,0.204716869,1.574241,1.7769672, Calibration,carbon
19417,1.824068972,0.159143142,0.99160606,1.4, Calibration,carbon
19420,1.525368716,0.16897044,0.8471696,1, Calibration,carbon
19423,4.739550817,0.257397902,2.4984744,2.43, Calibration,carbon
19426,4.664753705,0.300513,2.4826334,2.56, Calibration,carbon
19429,2.452024791,0.25521126,1.353618,1.5786272, Calibration,carbon
19433,7.670234426,0.08146073,3.8758476,4.2262044, Calibration,carbon
19435,3.500337431,0.316161087,1.9082493,2.04, Calibration,carbon
19438,2.246954932,0.190960393,1.2189577,1.3868262, Calibration,carbon
19441,4.119103765,0.136456633,2.1277802,2.2, Calibration,carbon
19444,5.469562217,0.191010312,2.8302863,3.2, Calibration,carbon
19447,1.923747941,0.119122342,1.0214351,1, Calibration,carbon
19450,1.451394892,0.131599808,0.79149735,1.173711, Calibration,carbon
19454,15.95167525,0.635725807,7.6579747,7, Calibration,carbon
19456,14.91711372,0.697018084,7.110048,8.1, Calibration,carbon
19458,2.436065239,0.188748079,1.3124067,1.5, Calibration,carbon
19460,6.160695976,0.041014725,3.1008554,3.2, Calibration,carbon
19462,4.152457283,0.280919029,2.2166882,2.21, Calibration,carbon
19464,9.147575583,0.045857634,4.550859,5.5, Calibration,carbon
19466,2.080276975,0.179979553,1.1301283,1.2266896, Calibration,carbon
19468,3.91641484,0.322014707,2.1192148,2, Calibration,carbon
19470,1.909008562,0.240375222,1.0746919,1.3145161, Calibration,carbon
19472,26.33613262,1.720165825,12.307983,13.4, Calibration,carbon
19474,9.171055161,0.029907548,4.570574,4.9, Calibration,carbon
19476,4.96100568,0.2758298,2.6184177,2.72, Calibration,carbon
19478,2.34786218,0.218852822,1.2833575,1.8, Calibration,carbon
19480,1.438216841,0.122374857,0.78029585,0.42, Calibration,carbon
19482,1.433825146,0.117296327,0.77556074,0.4587867, Calibration,carbon
19484,6.260989825,0.219139417,3.2400646,3.41, Calibration,carbon
19486,4.486032398,0.147546856,2.3167896,2.5, Calibration,carbon
19488,2.067164611,0.23611765,1.1516411,1.4427516, Calibration,carbon
19491,24.06771534,1.455385858,11.306165,10.7, Calibration,carbon
19492,3.217794669,0.273561227,1.745678,1.9, Calibration,carbon
19494,1.679731764,0.232155882,0.9559438,1.2, Calibration,carbon
19496,6.112118128,0.068883535,3.0905008,3.2, Calibration,carbon
19498,2.700094847,0.20117435,1.4506346,1.5, Calibration,carbon
19500,2.017687791,0.244705684,1.1311967,1.4, Calibration,carbon
