,lower,upper,pred,obs,type,variable
152,1.6302967,11.339839935302734,6.485068321228027,6.0, Calibration,P retention
153,29.985592,41.73176956176758,35.858680725097656,34.0, Calibration,P retention
154,32.69199,44.142337799072266,38.41716384887695,38.0, Calibration,P retention
155,0.8124962,6.401147365570068,2.794325590133667,3.0, Calibration,P retention
156,13.824348,29.678386688232422,21.751367568969727,20.526106, Calibration,P retention
157,65.2932,85.58747863769531,75.44033813476562,75.0, Calibration,P retention
158,55.188274,70.11177062988281,62.650020599365234,67.0, Calibration,P retention
159,5.3769083,20.19068145751953,12.783795356750488,11.0, Calibration,P retention
160,11.09804,28.43195915222168,19.764999389648438,16.0, Calibration,P retention
161,19.938978,31.709367752075195,25.824172973632812,23.77313, Calibration,P retention
162,53.93623,64.38850402832031,59.1623649597168,61.0, Calibration,P retention
163,24.395964,35.85074234008789,30.123353958129883,29.0, Calibration,P retention
164,74.1358,94.68695068359375,84.411376953125,80.0, Calibration,P retention
165,24.240711,38.02090835571289,31.130809783935547,29.0, Calibration,P retention
166,62.409172,74.2317123413086,68.32044219970703,67.0, Calibration,P retention
167,88.92719,99.5,94.77685546875,94.0, Calibration,P retention
168,33.228622,48.45503234863281,40.841827392578125,42.0, Calibration,P retention
169,29.651037,41.797080993652344,35.72406005859375,34.0, Calibration,P retention
170,24.641975,37.14324951171875,30.89261245727539,32.0, Calibration,P retention
171,8.090966,23.89992904663086,15.995447158813477,14.0, Calibration,P retention
172,13.097042,26.970619201660156,20.033830642700195,19.0, Calibration,P retention
173,72.15033,93.38362121582031,82.76697540283203,80.0, Calibration,P retention
174,45.597332,53.21437454223633,49.405853271484375,47.0, Calibration,P retention
175,47.372128,55.36381149291992,51.36796951293945,47.0, Calibration,P retention
176,53.385433,67.61233520507812,60.49888610839844,64.0, Calibration,P retention
177,1.1473918,8.766763687133789,3.809685707092285,4.0, Calibration,P retention
178,1.1104245,12.642570495605469,6.876497268676758,6.0, Calibration,P retention
179,91.364655,99.5,96.61949920654297,98.0, Calibration,P retention
180,67.83634,83.7743911743164,75.80536651611328,77.0, Calibration,P retention
181,11.383404,25.453819274902344,18.418611526489258,17.0, Calibration,P retention
182,3.3848934,23.505250930786133,13.445072174072266,5.0, Calibration,P retention
183,35.709274,43.93596649169922,39.8226203918457,37.0, Calibration,P retention
184,23.492817,40.60402297973633,32.04841995239258,28.0, Calibration,P retention
185,78.69373,96.35237884521484,87.52305603027344,91.0, Calibration,P retention
186,1.3909006,14.065803527832031,7.728352069854736,7.0, Calibration,P retention
187,4.669927,18.700349807739258,11.685138702392578,11.0, Calibration,P retention
