"","type","variable","obs","pred","lower","upper"
"21781","Calibration","P retention",40,43.6795007566863,42.015290776917,45.4138571310452
"21782","Calibration","P retention",98,95.8942536216985,93.9222226086815,98.6784802931203
"21783","Calibration","P retention",42,34.5446512897075,25.4269857784975,42.8506934240364
"21784","Calibration","P retention",35,44.3083947155656,42.3646490165761,48.1625601876226
"21785","Calibration","P retention",48,41.8766288931634,39.6122417244489,44.4520221985074
"21786","Calibration","P retention",58,50.5931428595711,46.353796802283,53.7897234154191
"21787","Calibration","P retention",14,20.6318988195615,18.9689230973249,22.8367052742626
"21788","Calibration","P retention",87,85.5515838605352,82.6115592671732,90.2243946431554
"21789","Calibration","P retention",67,48.9077475298892,46.7876579653478,52.8017205182528
"21790","Calibration","P retention",49,46.5505031046348,44.517938009816,47.5053854832437
"21791","Calibration","P retention",87,83.73414406364,82.3363419411149,86.5017771010153
"21792","Calibration","P retention",73,67.103264068058,64.3856247299118,71.4190977748888
"21793","Calibration","P retention",30,39.4129929735689,37.2234956319183,41.7627218014079
"21794","Calibration","P retention",83,87.250466735291,82.2371234422199,91.318997925299
"21795","Calibration","P retention",28,28.7616094270598,26.1309067833383,29.9426762784682
"21796","Calibration","P retention",28,28.7125903756682,27.7353314955837,29.6237941895102
"21797","Calibration","P retention",91,92.1457086360127,90.4726670036374,94.4653697780437
"21798","Calibration","P retention",65,63.7035378274009,60.8974288782076,66.7438122648495
"21799","Calibration","P retention",60,59.7177503404904,57.3216633539219,63.2456490279249
"21800","Calibration","P retention",67,62.7260776206342,61.2025463240411,66.0725185257986
"21801","Calibration","P retention",52,48.1029631321049,44.6845857168148,50.5885003186439
"21802","Calibration","P retention",41,43.8033214390644,42.806830821255,45.0697851001556
"21803","Calibration","P retention",66,50.6290700310948,46.3472924722618,59.5942921131207
"21804","Calibration","P retention",29,34.8262878390124,32.8452224527756,36.6684113829443
"21805","Calibration","P retention",43,46.5751453321275,43.4048102224964,48.6709152363096
"21806","Calibration","P retention",99,100.214326917341,98.673237446824,102.899139705066
"21807","Calibration","P retention",54,59.5564413317676,57.3750587790608,62.6467235509945
"21808","Calibration","P retention",36,38.129231612776,36.366609545585,39.2562053417204
"21809","Calibration","P retention",32,37.6396113099726,35.2209959030872,38.6618773816092
"21810","Calibration","P retention",51,49.4940719889161,44.514993801174,52.9206135974662
"21811","Calibration","P retention",33,37.8288646357727,35.4259065621526,39.6822108991949
"21812","Calibration","P retention",70,56.578315668615,52.8721976250696,60.9663615723125
"21813","Calibration","P retention",54,48.4969812971146,42.1114849065768,52.7973233467171
"21814","Calibration","P retention",26,46.5463961748709,42.3991414427284,48.4177861389793
"21815","Calibration","P retention",47,54.3184203818342,52.5913739488484,56.8413130729711
"21816","Calibration","P retention",31,39.926423884693,36.4524404530994,41.2641517351193
"21817","Calibration","P retention",36,37.0781548440235,36.2208534638825,38.1091273425347
"21818","Calibration","P retention",5,23.970199512408,21.4171605845369,28.6176882967126
"21819","Calibration","P retention",58,45.1199822074304,42.282631763631,48.855294408261
"21820","Calibration","P retention",18,9.86315973116422,7.5688026937701,12.1459657826842
"21821","Calibration","P retention",3,2.72505485533074,-1.00690047799032,5.93939010664927
"21822","Calibration","P retention",76,68.8470691600556,66.3591627450951,71.055028979229
"21823","Calibration","P retention",72,64.3686838013288,62.2966537114,66.9655013229782
"21824","Calibration","P retention",7,13.6351604497986,11.521658822282,14.7175499119674
"21825","Calibration","P retention",100,97.9041753388439,94.245321274538,106.537341161947
"21826","Calibration","P retention",16,15.4256664807903,12.4397787004362,15.8037934791849
"21827","Calibration","P retention",84,58.211964028561,54.4348048322755,62.8290297111411
"21828","Calibration","P retention",59,53.840964417268,52.7195977374905,54.9225142012154
"21829","Calibration","P retention",28,29.055460042242,25.4738562926464,30.790025920518
"21830","Calibration","P retention",81,79.2602879822325,77.0420564123225,82.6506652894054
"21831","Calibration","P retention",69,62.5051166002031,60.84186051793,64.3503447486303
"21832","Calibration","P retention",52,49.1048949110761,46.5575794976538,53.2291896770063
"21833","Calibration","P retention",32,42.1179259230888,37.0820332116856,45.4430330772823
"21834","Calibration","P retention",98,107.382746408677,103.893672890232,109.934333223906
"21835","Calibration","P retention",11,7.90400070081084,6.2898406866371,10.9696896988949
"21836","Calibration","P retention",71,70.7726621284193,68.9194771396601,73.0005958134247
"21837","Calibration","P retention",21,29.3061425790252,28.114863010405,30.3482961092313
"21838","Calibration","P retention",28,36.1500819809296,32.2279516172526,38.9335882456656
"21839","Calibration","P retention",99,92.6227629332185,88.5192287526916,95.6216284408759
"21840","Calibration","P retention",22,36.8418562205655,34.5989732839823,38.6280199023852
"21841","Calibration","P retention",39,57.4373446794966,53.4476334133922,61.3509031098334
"21842","Calibration","P retention",98,104.073604508741,102.042725158118,107.359384373774
"21843","Calibration","P retention",56,68.747640997498,65.0932575977405,75.0458840669401
"21844","Calibration","P retention",70,79.9313619544132,77.9420993436663,82.5262704499526
"21845","Calibration","P retention",69,68.7146642035047,64.8776045803385,72.9088508786974
"21846","Calibration","P retention",28,38.4065960881864,36.8469558204913,39.8214365006165
"21847","Calibration","P retention",37,40.0842999227096,38.3214569483248,41.6423066357224
"21848","Calibration","P retention",44,37.041121610597,35.1195846723992,38.6389497510185
"21849","Calibration","P retention",61,61.3212611562179,58.3802527755741,62.9111976079565
"21850","Calibration","P retention",56,67.9288384590162,66.9160708846477,69.5736920384528
"21851","Calibration","P retention",99,110.375105429527,106.812673286665,112.005022062332
"21852","Calibration","P retention",100,107.156541271082,103.585863921063,109.067488511999
"21853","Calibration","P retention",88,75.992263666568,73.5434403531086,79.4083074072229
"21854","Calibration","P retention",50,58.0445278779475,55.4760109810898,60.1717111484457
"21855","Calibration","P retention",99,105.466442702037,103.007622496123,107.993352518492
"21856","Calibration","P retention",48,45.7950270434754,44.4493742684363,47.933919925112
"21857","Calibration","P retention",64,60.2613065041576,58.2619369896826,64.8638156637994
